mention_id,mention,DOI,PMID,ROR_ID,github_slug
SM4,ggplot2,10.1002/wics.147,,https://ror.org/008zs3103,tidyverse/ggplot2
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/002pd6e78,
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03e06qt98,
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/02s2acn37,
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03vek6s52,
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/036jqmy94,
SM139,3D Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/04b6nzv94,
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/002pd6e78,Slicer/Slicer
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03e06qt98,Slicer/Slicer
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/02s2acn37,Slicer/Slicer
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03vek6s52,Slicer/Slicer
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/036jqmy94,Slicer/Slicer
SM133,Slicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/04b6nzv94,Slicer/Slicer
SM3,R,10.1093/bioinformatics/btp616,19910308,https://ror.org/01b3dvp57,dmpe/R
SM3,R,10.1093/bioinformatics/btp616,19910308,https://ror.org/01b6kha49,dmpe/R
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/02s376052,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/042nb2s44,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/0495fxg12,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/013sk6x84,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/05b8d3w18,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/02crff812,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/002n09z45,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/00fbnyb24,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/046rm7j60,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/01c3w3270,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/02jbv0t02,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/006w34k90,chimple/Fiji
SM43,Fiji,10.1038/nmeth.2019,22743772,https://ror.org/01y2jtd41,chimple/Fiji
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/002pd6e78,giorgio-denunzio/3DSlicer
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03e06qt98,giorgio-denunzio/3DSlicer
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/02s2acn37,giorgio-denunzio/3DSlicer
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/03vek6s52,giorgio-denunzio/3DSlicer
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/036jqmy94,giorgio-denunzio/3DSlicer
SM355,3DSlicer,10.1016/j.mri.2012.05.001,22770690,https://ror.org/04b6nzv94,giorgio-denunzio/3DSlicer
SM105,VOSviewer,10.1007/s11192-009-0146-3,20585380,https://ror.org/027bh9e22,emmolb/VOSviewer
SM105,VOSviewer,10.1007/s11192-009-0146-3,20585380,https://ror.org/057w15z03,emmolb/VOSviewer
SM1360,NetMHC,10.1093/nar/gkn202,18463140,https://ror.org/04qtj9h94,
SM1043,MUSCLE,10.1093/nar/gkh340,15034147,https://ror.org/01sh98j38,
SM1175,SMART,10.1073/pnas.95.11.5857,9600884,https://ror.org/052gg0110,
SM1175,SMART,10.1073/pnas.95.11.5857,9600884,https://ror.org/050589e39,
SM165,SPSS,10.1016/j.brat.2016.11.001,18697684,https://ror.org/00rs6vg23,laribio/SPSS
SM165,SPSS,,18697684,https://ror.org/001tmjg57,laribio/SPSS
SM536,ClustalW,10.1093/nar/22.22.4673,7984417,https://ror.org/050589e39,
SM501,BLAST,,2231712,https://ror.org/02meqm098,
SM501,BLAST,,2231712,https://ror.org/04p491231,
SM501,BLAST,,2231712,https://ror.org/03m2x1q45,
SM501,BLAST,,2231712,https://ror.org/01cwqze88,
SM1447,NAMD,10.1002/jcc.20289,16222654,https://ror.org/047426m28,
SM1447,NAMD,10.1002/jcc.20289,16222654,https://ror.org/02feahw73,
SM1447,NAMD,10.1002/jcc.20289,16222654,https://ror.org/05dfxeg46,
SM4247,OpenBUGS,10.1002/sim.3680,19630097,https://ror.org/03x94j517,
SM4247,OpenBUGS,10.1002/sim.3680,19630097,https://ror.org/02wn5qz54,
SM4247,OpenBUGS,10.1002/sim.3680,19630097,https://ror.org/041kmwe10,
SM4247,OpenBUGS,10.1002/sim.3680,19630097,https://ror.org/046vje122,
SM1249,ClustalX,10.1093/nar/25.24.4876,9396791,https://ror.org/02feahw73,
SM1249,ClustalX,10.1093/nar/25.24.4876,9396791,https://ror.org/0015ws592,
SM1249,ClustalX,10.1093/nar/25.24.4876,9396791,https://ror.org/02vjkv261,
SM1249,ClustalX,10.1093/nar/25.24.4876,9396791,https://ror.org/050589e39,
SM1249,ClustalX,10.1093/nar/25.24.4876,9396791,https://ror.org/03265fv13,
SM1404,TreeView,10.1073/pnas.95.25.14863,,https://ror.org/00f54p054,shineM/TreeView
SM1404,TreeView,10.1073/pnas.95.25.14863,,https://ror.org/006w34k90,shineM/TreeView
SM681,BEAST,10.1186/1471-2148-7-214,17996036,https://ror.org/03b94tp07,
SM681,BEAST,10.1186/1471-2148-7-214,17996036,https://ror.org/01nrxwf90,
SM4661,DUET,10.1093/nar/gku411,24829462,https://ror.org/013meh722,
SM4661,DUET,10.1093/nar/gku411,24829462,https://ror.org/02k3cxs74,
SM1408,RAxML,10.1093/bioinformatics/btu033,24451623,https://ror.org/04t3en479,LennonLab/RAxML
SM1408,RAxML,10.1093/bioinformatics/btu033,24451623,https://ror.org/01f7bcy98,LennonLab/RAxML
SM4740,TANGO,10.1038/nbt1012,15361882,https://ror.org/006e5kg04,
SM4740,TANGO,10.1038/nbt1012,15361882,https://ror.org/050589e39,
SM2170,UCSF Chimera,10.1002/jcc.20084,15264254,https://ror.org/043mz5j54,
SM537,PSIPRED,10.1006/jmbi.1999.3091,10493868,https://ror.org/01a77tt86,
SM2612,Bio3D,10.1093/bioinformatics/btl461,16940322,https://ror.org/006w34k90,
SM2612,Bio3D,10.1093/bioinformatics/btl461,16940322,https://ror.org/0168r3w48,
SM2612,Bio3D,10.1093/bioinformatics/btl461,16940322,https://ror.org/04m01e293,
SM2612,Bio3D,10.1093/bioinformatics/btl461,16940322,https://ror.org/03m1g2s55,
SM4884,DAMMIN,10.1016/s0006-3495(99)77443-6,10354416,https://ror.org/05qrfxd25,
SM4884,DAMMIN,10.1016/s0006-3495(99)77443-6,10354416,https://ror.org/050589e39,
SM4884,DAMMIN,10.1016/s0006-3495(99)77443-6,10354416,https://ror.org/049ecjx61,
SM3466,CRYSOL,,28808438,https://ror.org/00f54p054,
SM3466,CRYSOL,,28808438,https://ror.org/05q51gp63,
SM3466,CRYSOL,,28808438,https://ror.org/05qrfxd25,
SM3466,CRYSOL,,28808438,https://ror.org/01jemb993,
SM3466,CRYSOL,,28808438,https://ror.org/004dzkd51,
SM3466,CRYSOL,,28808438,https://ror.org/050589e39,
SM3466,CRYSOL,,28808438,https://ror.org/00n1nz186,
SM4910,RNAstructure,10.1186/1471-2105-11-129,20230624,https://ror.org/00trqv719,
SM4911,CLUSTAL Omega,10.1038/msb.2011.75,21988835,https://ror.org/05m7pjf47,
SM4911,CLUSTAL Omega,10.1038/msb.2011.75,21988835,https://ror.org/0015ws592,
SM4911,CLUSTAL Omega,10.1038/msb.2011.75,21988835,https://ror.org/029chgv08,
